No.,Residence,ALGEBRA,TRIGO,ADVALGEBRA,ANAGEO,DIFCAL,INTCAL,DIFEQU,STATS,ADVENGMAT,NUMERICAL,MATAVERAGE,PHY01A,PHY02A,ENG01,ENG02A,ENG03A,ENGECO,VECTOR,ELXDEVICE,ELXCIRCUITS,SIGNALS,PRINCO,LCST,DIGICOM,TRANS,MICRO,BROADCAST,CONTROLSYS,ECEAVERAGE,CIRC1,ELEMAG,CIRC2,ELEAVERAGE,VA,VR,FR,QR,SCHEME,On-Time,WithHonors,Passer
202,candelaria,3,2.5,2.75,2,2.75,2.5,2.25,3,2,2.25,2.5,2.75,2.75,1.75,2,3,2.25,2.75,2,2.5,3,2.5,2.25,2,2.25,3,3,3,2.55,2.25,2.5,2,2.25,A,AA,AA,AA,A,YES,NO,YES
203,tayabas,2,2.25,2.25,1.75,2,2,1.5,2,2,2,1.98,2.25,1.75,2,2,2.25,2,2,1.5,2.25,2,2,2,2.25,2,2.5,3,2.25,2.175,2,1.25,1.5,1.583333333,A,AA,AA,A,B,YES,NO,YES
204,padre burgos,1.25,1.25,1.25,1,1.25,1,1.25,1.25,1.5,1.25,1.23,1.75,1.75,1.25,1,1.25,1.5,1.5,1,1.5,1.25,1.25,1.75,1.25,1,1.75,2,1.5,1.425,1.25,1.75,2,1.666666667,A,AA,A,AA,C,YES,YES,YES
205,mindoro,2.25,2.5,2.25,2.5,2.25,2.25,1.75,2.5,1.5,1.25,2.1,2.25,2.25,2.5,1.75,1.75,2.5,1.75,1.75,2.5,2.5,2.75,3,2.5,2.25,2.5,2.5,2,2.425,2.25,2.25,1.75,2.083333333,AA,AA,A,A,B,YES,NO,YES
206,lucena,2.25,2,2.25,2.25,3,3,2,2.5,2.25,3,2.45,2.75,2.5,2,1.5,2.5,1.75,2,1.5,3,3,2.75,3,2.5,2.25,2.5,2.75,2.25,2.55,2,2.5,2.25,2.25,AA,AA,A,AA,A,YES,NO,YES
207,san antonio,2.75,2.75,2.5,2.25,3,2.75,3,2,2.75,2.25,2.6,3,3,3,2.25,2,3,1.75,2.25,3,3,3,3,2,2.5,2.5,3,2.25,2.65,2.75,2.5,2.75,2.666666667,A,AA,A,A,C,YES,NO,NO
208,lucena,2.25,2.25,1.75,2,3,2,1.5,2.25,1.75,1.75,2.05,2.75,2,2,1.75,2.25,1.5,1.5,1.75,2,1.75,2.75,2.25,2.75,2,2,2.5,2,2.175,1.5,1.75,2,1.75,A,AA,A,AA,A,YES,NO,YES
209,lucban,2.5,2.5,2.25,1.75,2.75,2.5,2.25,2.5,1.75,2.5,2.33,3,2.5,3,1.75,3,2.75,3,3,3,3,3,3,2,2.25,3,2.75,2.75,2.775,2.75,3,2.25,2.666666667,AA,A,A,A,A,YES,NO,NO
210,gumaca,2.5,3,3,2.25,3,3,2.25,3,2.25,1.5,2.58,3,3,3,3,2.25,2.75,2,3,3,3,3,2.5,2.75,2.5,2.75,3,3,2.85,2.5,2.75,2.25,2.5,A,A,A,A,B,YES,NO,NO
211,tayabas,1.75,2,3,2.75,2,2.5,2,3,1.75,1.25,2.2,3,2.75,2.75,2,2,2.25,1.75,1.75,2.5,2,2.25,2.5,1.75,2.25,1.25,2.5,2.25,2.1,2,1.5,1.75,1.75,A,AA,A,A,A,YES,NO,YES
212,pagbilao,2.75,2.75,1.75,2.5,2.25,2.75,2.25,2.5,1.5,1.75,2.28,2.75,2.5,3,2.5,2.25,2.5,2.75,1.75,3,3,2,2.5,2,2,2.75,3,3,2.5,2.5,2.75,1.75,2.333333333,AA,A,A,A,A,YES,NO,NO
213,candelaria,2.25,2.25,2,2.5,2.5,2.75,1.75,2,1.5,1.5,2.1,2.75,2.75,1.5,3,2.75,3,2.75,2,2.75,2.5,2.25,3,2.75,2,3,3,2.75,2.6,2.5,2.5,1.75,2.25,AA,AA,A,A,B,YES,NO,YES
214,lucena,3,3,3,3,3,3,2.5,3,2,1.75,2.73,3,2.75,3,3,2,3,2.25,2,3,2.5,3,3,2.75,3,3,3,3,2.825,3,2.75,2.25,2.666666667,A,A,A,A,A,YES,NO,NO
215,sariaya,2.75,3,3,3,3,2.75,3,3,1.75,1.5,2.68,3,3,3,3,2.25,3,2,2.25,3,3,3,1.75,1.75,3,3,3,2.75,2.65,3,2.25,1.75,2.333333333,A,A,A,A,A,YES,NO,NO
216,mauban,3,3,3,3,3,3,3,3,2.25,2.5,2.88,2,2.25,3,3,2.25,3,2.5,3,3,3,3,3,2.25,2.75,3,3,3,2.9,3,3,2.5,2.833333333,A,AA,A,A,A,YES,NO,NO
217,lucban,2.25,3,3,3,3,3,3,3,2.5,1.75,2.75,3,2.75,3,2.75,2.5,3,2,3,3,2.75,3,3,2,3,2.5,3,3,2.825,3,2.25,2.25,2.5,A,A,A,A,A,NO,NO,NO
218,guinayangan,2,2.5,2.25,3,2.5,3,2.25,3,1.75,2,2.43,2.5,2.75,3,2.75,3,2.25,2.75,3,2.5,3,2.25,3,2.25,1.75,3,3,3,2.675,2.25,3,1.75,2.333333333,A,A,A,A,A,YES,NO,YES
219,tayabas,1.75,1.75,2.25,1.75,2,2,1.5,1.5,2,2,1.85,2.25,1.75,1.5,1.75,2,2,2,1.5,2.25,2,2,2,2.25,2,2.5,3,2.25,2.175,2,1.25,1.5,1.583333333,A,AA,AA,AA,B,YES,NO,YES
220,lucban,3,3,2.5,2.25,2.5,3,3,2.25,2,2.25,2.58,3,2.5,3,2.75,3,3,3,3,3,3,2.75,3,2.25,2,3,3,3,2.8,3,3,2.25,2.75,A,A,A,A,C,YES,NO,NO
221,luisiana,2.25,2.5,2.25,1.75,2.25,1.75,2.25,2.5,2,2.25,2.18,2.5,2.25,1.75,1.5,2.5,3,2.75,2.5,3,3,1.75,2.25,2,2,2,2.5,2.75,2.375,3,3,2,2.666666667,A,AA,A,A,A,YES,NO,YES
222,atimonan,2.75,2.5,2.5,2.25,2.75,2.5,2.5,3,2,2,2.48,3,3,2.25,2.75,3,3,3,2.75,3,3,3,3,2.25,2.25,3,3,3,2.825,2.75,3,2,2.583333333,A,A,A,A,A,YES,NO,NO
223,candelaria,2,3,3,2.5,2.75,2.5,1.75,3,1.5,1.75,2.38,3,2.75,2.5,1.75,2.25,2.25,2,2,2.5,2.25,3,2,1.75,2.5,3,2.75,2.5,2.425,2,1.75,1.75,1.833333333,A,AA,A,AA,A,YES,NO,YES
224,nagcarlan,2.25,2.5,2,2,3,2,1.5,2.25,1.75,1.75,2.1,2.75,2,2,1.75,2.25,1.5,1.5,1.75,2,1.75,2.75,2.25,2.75,2,2,2.5,2,2.175,1.5,1.75,2,1.75,A,AA,AA,A,A,YES,NO,YES
225,lucban,1.75,2.75,2.25,2.25,2,2,2,2.5,2.25,3,2.28,2.75,3,2,1.5,2.5,1.75,2,1.5,3,3,2.75,3,2.5,2.25,2.5,2.75,2.25,2.55,2,3,2.25,2.416666667,A,AA,AA,A,B,YES,NO,YES
226,infanta,3,3,2,3,3,3,3,3,1.75,2,2.68,3,3,3,2.25,3,2.75,2.75,1.5,2.75,2.5,2.25,2.75,2,2.25,3,3,3,2.5,3,3,2.25,2.75,A,AA,A,A,A,NO,NO,NO
227,famy,2.25,2.25,3,3,3,2.25,2.5,2,2.25,1.75,2.43,2.75,2.5,3,3,2.5,3,2.75,3,3,3,3,3,3,3,3,3,3,3,3,3,2.75,2.916666667,A,A,A,A,A,NO,NO,NO
228,tayabas,1.75,2,3,2.75,2,2.5,2,3,1.75,1.25,2.2,3,2.75,2.75,2,2,2.25,1.75,1.75,2.5,2,2.25,2.5,1.75,2.25,1.25,2.5,2.25,2.1,2,1.5,1.75,1.75,A,AA,A,A,A,YES,NO,YES
229,tayabas,2.25,3,3,3,3,2.75,2.5,3,2.75,1.5,2.68,3,3,2.75,3,3,3,3,3,3,3,3,3,2.75,3,3,3,3,2.975,3,3,2.5,2.833333333,A,A,A,A,A,YES,NO,NO
230,pitogo,2.25,2.5,2,2.25,2.5,2.5,2.25,2.5,2,1.75,2.25,2.25,2.25,2.5,1.75,1.5,1.75,2.5,2.25,2,1.75,1.75,2.5,1.75,2.5,2.25,2,2.25,2.1,2,1.75,2,1.916666667,AA,AA,A,A,B,YES,NO,YES
231,gumaca,3,2.5,2.75,2,2.75,2.5,2.25,3,2,2.25,2.5,2.75,2.75,1.75,2,3,2.25,2.75,2,2.5,3,2.5,2.25,2,2.25,3,3,3,2.55,2.25,2.5,2,2.25,A,AA,AA,AA,A,YES,NO,YES
232,lucban,3,3,3,3,2.75,3,3,3,2.25,1.75,2.78,3,3,3,2.75,3,3,3,3,3,3,3,2.75,2.75,2.25,2.75,3,3,2.85,3,3,2.75,2.916666667,A,A,A,A,A,NO,NO,NO
233,candelaria,1.5,1.75,2.25,1.75,2.5,2,2.5,2,2,1.5,1.98,2.75,2.75,3,2.25,1.75,2,2.75,2.25,3,2.25,2.75,1.5,1.75,2.25,2.5,3,2.75,2.4,2.75,2,1.5,2.083333333,AA,AA,AA,A,A,YES,NO,YES
234,lucena,1.75,1.5,1.5,1.5,2,1.75,1.5,2,2,2.25,1.78,2.75,2.5,1.5,2,2.5,2.25,2.5,1.5,2.25,2.5,1.5,2.75,2.25,1.75,2.5,3,2.5,2.25,2,3,2,2.333333333,A,AA,A,A,B,YES,NO,YES
235,lucban,2.25,3,2,1.75,2.5,2.5,2.25,1.75,1.75,2.25,2.2,2.75,2.75,1.75,3,3,3,3,2.75,3,3,3,2.5,2.5,2.5,3,3,2,2.725,2.25,3,1.75,2.333333333,A,A,AA,AA,A,YES,NO,NO
236,sariaya,3,3,2.5,2.25,2.5,3,3,2.25,2,2.25,2.58,3,2.5,3,2.75,3,3,3,3,3,3,2.75,3,2.25,2,3,3,3,2.8,3,3,2.25,2.75,A,A,A,A,B,YES,NO,NO
237,guinayangan,1.25,1.25,1.5,1.25,1.75,1.5,1.25,1.25,1.75,2,1.48,1.25,1.25,1.5,1.25,2.25,2.25,1.75,2,1.5,1.75,1.75,2.25,1.75,1.75,2,1.25,1.25,1.725,1.75,1.25,2,1.666666667,A,AA,A,AA,A,YES,YES,YES
238,lucena,2,1.75,1.75,1.75,2,1.75,2.75,1.75,1.5,1.75,1.88,1.25,2.25,1.25,2,1.75,1.5,1.5,1.5,1.5,1.25,1.25,2.5,2.25,2,1.75,1.5,1.25,1.675,2,2.25,2.25,2.166666667,A,AA,A,AA,B,YES,YES,YES
239,lucban,3,3,3,3,3,3,2.75,3,2.25,2.25,2.83,3,2.75,3,3,3,3,3,3,3,3,2.5,3,3,3,3,3,2.75,2.925,2.75,3,3,2.916666667,A,A,A,A,A,NO,NO,NO
240,lucban,2,3,2.25,2.5,2,2.25,2,3,2.25,1.75,2.3,3,2.75,2.5,2.25,2.75,2.5,3,2.5,2.5,2.25,2.5,2.75,1.5,2,2.75,3,3,2.475,2.75,2.75,2,2.5,A,A,A,A,A,NO,NO,NO
241,lucban,3,2.25,2.25,3,2.75,3,2.5,2.5,2,1.75,2.5,2.75,2.75,2,3,3,3,3,2.5,3,3,2.5,2.5,2.25,2.25,3,3,3,2.7,3,3,2,2.666666667,A,AA,AA,AA,A,YES,NO,YES
242,lucena,2.5,3,3,3,3,2.75,2.75,3,2.75,1.75,2.75,3,3,3,3,3,3,2.5,3,3,3,3,3,3,3,3,3,3,3,3,3,2.5,2.833333333,A,A,A,A,B,YES,NO,NO
243,mauban,1.75,1.75,2,1.75,3,1.5,2,2.25,1.5,1.25,1.88,2.75,2.75,2,2.75,2,2,1.75,1.75,2,2.25,2.5,2.5,1.75,2.25,2,2.75,1.75,2.15,1.5,1.75,1.5,1.583333333,A,AA,A,A,A,YES,NO,YES
244,tayabas,2.75,2.75,2.5,2.25,2.25,2,2.75,2.5,2.25,1.5,2.35,2.5,2.25,3,1.25,2.25,2.25,2.5,2,2.75,2.75,2.75,2.75,2.25,2.5,2.5,2.75,2.5,2.55,2.25,2.75,1.5,2.166666667,A,A,A,A,A,NO,NO,NO
245,gumaca,2.25,2.25,1.75,1.25,2.25,2.25,2.5,2.25,2.25,1.5,2.05,2.5,2.5,2,1.5,2.25,1.75,1.75,1,2.5,1.75,1.5,2,2,1.75,2.25,3,2.25,2,2,1.25,1.5,1.583333333,A,AA,A,A,A,NO,NO,NO
246,tiaong,3,3,2.75,2.25,3,3,2,3,2.25,2.25,2.65,3,3,2.75,3,3,3,3,3,3,3,3,3,2.75,2.75,3,2.75,3,2.925,3,3,2.25,2.75,AA,A,A,AA,B,NO,NO,NO
247,lucban,1.75,2,2.75,2.25,2.5,3,2.75,2.75,2.25,2.5,2.45,3,3,2,3,3,2,3,3,2,2.5,2.25,3,2.75,2.25,2,2.5,3,2.525,2.75,3,2.5,2.75,AA,AA,A,A,A,NO,NO,YES
248,gumaca,2.75,2.75,1.75,2.5,2.25,2.75,2.25,2.5,1.5,1.75,2.28,2.75,2.5,3,2.5,2.25,2.5,2.75,1.75,3,3,2,2.5,2,2,2.75,3,3,2.5,2.5,2.75,1.75,2.333333333,A,A,A,A,B,NO,NO,NO
249,san pablo,2.5,3,3,3,2.75,1.75,2.5,2.5,1.75,2.75,2.55,2.75,2.75,3,2.25,3,2.5,3,2.5,2.75,3,2.25,2.75,2.25,2.25,3,3,3,2.675,3,2.25,2.75,2.666666667,AA,A,AA,A,A,NO,NO,NO
250,tayabas,3,2.25,2.75,3,3,3,3,3,2,1.5,2.65,3,3,3,3,3,3,2.5,2.25,3,3,3,2.5,2,3,2.75,3,3,2.75,3,3,2.25,2.75,A,A,A,A,B,NO,NO,NO
251,catanauan,2.5,2.75,3,2.25,2.5,2,1.75,3,1.5,1.75,2.3,2.75,2.5,1.75,1.75,2.25,2.5,1.5,2.25,2.25,2,2.5,1.75,1.75,2.25,2.25,2.75,2.25,2.2,2.25,1.5,1.5,1.75,A,AA,A,A,A,YES,NO,YES
252,lucena,3,3,3,3,3,3,2.25,3,2,1.75,2.7,3,3,2.5,2.25,2.25,2.75,2.25,2,3,2,2.75,2.25,1.75,2.5,3,3,2.5,2.475,2.75,2,2,2.25,A,AA,A,A,A,NO,NO,NO
253,lucban,2.25,3,2.5,3,3,2,2.25,3,1.75,2,2.48,3,3,2.25,2.5,2.25,2.75,2.25,2,3,2.5,2.75,2.25,2,3,2,3,3,2.55,2.5,3,2,2.5,A,AA,A,A,A,YES,NO,YES
254,tayabas,2.75,2.25,3,3,3,2.75,2.75,3,2,1.75,2.63,3,2.75,3,2,2,2.75,2,2.5,3,3,3,3,2.5,3,2.75,2.75,3,2.85,2.25,3,2,2.416666667,A,A,A,A,B,YES,NO,NO
255,candelaria,3,3,3,3,2,3,2,2.75,2.25,3,2.7,2.75,3,3,2.25,3,2.25,2.7,3,3,3,3,3,2.5,3,3,3,2.5,2.9,2.75,3,2.5,2.75,A,A,A,A,A,NO,NO,NO
256,candelaria,2.25,3,2,2.25,3,2.25,2.75,3,2,1.75,2.43,2,3,2.75,2.25,2.25,2.75,1.75,2.25,3,2.5,3,3,2.25,2.75,3,3,3,2.775,2.75,2.25,3,2.666666667,A,AA,A,AA,B,YES,NO,YES
257,tayabas,3,3,3,3,3,3,2,2.5,2,1.75,2.63,3,3,3,3,2,3,2.25,3,3,3,3,3,2.25,2.75,3,3,2.75,2.875,3,3,2.25,2.75,A,A,A,AA,C,YES,NO,NO
258,pagbilao,2.25,2.75,1.75,3,2.25,2.25,2.25,3,2,1.5,2.3,3,1.75,3,2,1.75,2.75,2,2.25,3,2.25,3,2.5,2,2.25,2.25,2.5,3,2.5,2.75,2.5,1.75,2.333333333,A,AA,A,AA,B,YES,NO,YES
259,lucena,1.75,1.75,2,2,2.5,2.5,1.75,2.5,1.25,1.25,1.93,2.75,2.5,2.25,2,2,2.25,1.75,1.5,1.75,1.5,2,2,1.5,1.75,1.75,2.25,2.75,1.875,2,1.75,1,1.583333333,A,AA,A,A,A,YES,NO,YES
260,majayjay,1.5,1.75,1.75,1.75,2,2,1.75,2.25,1.5,1.5,1.78,2.5,2.25,1.75,1.75,2,2.5,1.75,1.25,2,2,2.5,1.25,1.5,2,2.5,2.75,2,1.975,1.75,1.25,1.5,1.5,A,AA,A,A,A,NO,NO,YES
261,luisiana,3,3,3,3,3,2.25,3,3,2.25,1.5,2.7,3,3,3,3,2,2.75,2.25,2.5,3,2.5,3,2,1.75,2.25,2.75,3,2.75,2.55,3,3,2,2.666666667,A,AA,A,A,B,YES,NO,NO
262,tayabas,1.75,1.75,2,1.75,3,1.5,2,2.25,1.5,1.25,1.88,2.75,2.75,2,2.75,2,2,1.75,1.75,2,2.25,2.5,2.5,1.75,2.25,2,2.75,1.75,2.15,1.5,1.75,1.5,1.583333333,A,A,A,AA,A,YES,NO,YES
263,lucena,2.5,3,3,3,3,3,2.75,3,2,2.25,2.75,3,3,2.5,3,2.25,3,2.5,3,3,3,3,3,2.25,2.25,2,3,3,2.75,2.75,3,3,2.916666667,AA,A,A,A,C,NO,NO,NO
264,lucena,2,3,3,2.5,2.75,2.5,1.75,3,1.5,1.75,2.38,3,2.75,2.5,1.75,2.25,2.25,2,2,2.5,2.25,3,2,1.75,2.5,3,2.75,2.5,2.425,2,1.75,1.75,1.833333333,AA,AA,A,A,A,YES,NO,YES
265,pakil,2.5,3,3,3,3,2.75,2.75,3,2.75,1.75,2.75,3,3,3,3,3,3,2.5,3,3,3,3,3,2.75,3,3,3,3,2.975,3,3,2.5,2.833333333,A,A,AA,A,A,YES,NO,NO
266,nagcarlan,3,3,3,3,3,3,3,3,2,2,2.8,3,3,3,3,2,3,2.25,2.5,3,3,3,2.25,2,3,2.75,2.75,2.25,2.65,3,3,2.5,2.833333333,A,A,A,A,A,YES,NO,NO
267,lucban,2.25,2.75,3,3,3,3,3,3,2.25,1.75,2.7,3,3,3,2.5,2.25,3,2.25,2.5,3,3,3,3,2.25,3,3,3,2.75,2.85,3,3,2,2.666666667,AA,A,A,A,B,YES,NO,NO
268,tayabas,2.25,3,3,2.75,3,3,2.25,3,3,1.75,2.7,3,3,2.75,2.75,2.25,2.5,2.25,2.25,3,2.25,3,2.5,2.5,2.5,3,3,3,2.7,2.25,2.25,2.25,2.25,A,A,A,A,B,YES,NO,NO
269,lucena,2,2.5,3,3,2.5,2,2,3,1.5,1.75,2.33,3,2.75,2.25,2,2.25,1.75,1.75,2,2.75,2.5,3,1.75,2,2.5,2.5,2.75,2.5,2.425,1.75,2.25,2.25,2.083333333,A,A,AA,AA,A,YES,NO,NO
270,siniloan,2.5,2.25,3,2.25,3,2.5,2.25,3,2,1.5,2.43,3,2.75,2.75,1.75,1.75,2.5,2,1.75,2.5,2.5,3,2.25,2,2.75,2.75,3,2.75,2.525,2.25,1.75,2,2,A,AA,A,A,A,YES,NO,YES
271,mauban,2.5,3,3,3,3,2.5,2.75,3,2.75,1.75,2.73,3,3,3,3,2,2.75,1.75,2.5,3,2.5,3,3,2.25,2.25,2.75,2,3,2.625,3,3,2.75,2.916666667,A,A,A,A,A,YES,NO,NO
272,lucena,2.75,3,2.25,2.75,3,2.5,2.25,3,1.5,1.5,2.45,2.75,2.25,2,2.5,1.75,2.5,1.5,1.5,2.25,1.75,2.5,2.75,2.25,2.75,2.25,2.5,2,2.25,2.25,2,1.75,2,A,AA,A,AA,A,YES,NO,YES
273,sariaya,1.75,2.5,2.25,2,3,2,1.5,2.75,1.5,1.25,2.05,2.75,2.5,2.5,2,2,2.75,1.75,1.75,2.25,2.25,3,2.75,1.75,2.25,2.25,2.75,2.5,2.35,2.25,1.5,1.5,1.75,A,AA,A,A,C,YES,NO,YES
274,san pablo,2.25,2.25,2.75,3,2.5,2,2.25,3,1.75,1.75,2.35,3,2.75,2.25,2,2.5,2,1.75,1.75,3,2,2.25,1.5,1.75,2.25,2.25,2.5,2,2.125,2,1.5,1.75,1.75,AA,AA,A,AA,A,YES,NO,YES
275,lucena,2.75,2.25,2.5,2.25,2.5,1.75,2,2.5,1.75,1.5,2.18,3,2.75,1.75,1.75,1.25,2.75,1.5,1.5,3,2.25,2.75,2,2,2,2.75,2.5,2,2.275,2.25,2,1.75,2,A,AA,A,A,A,YES,NO,YES
276,lucban,3,3,3,3,3,3,2.5,3,2,1.75,2.73,3,2.75,3,3,2,3,2.25,2,3,2.5,3,3,2.75,3,3,3,3,2.825,3,2.75,2.25,2.666666667,A,AA,A,A,B,YES,NO,NO
277,sariaya,2.75,3,3,3,3,2.75,3,3,1.75,1.5,2.68,3,3,3,3,2.25,3,2,2.25,3,3,3,1.75,1.75,3,3,3,2.75,2.65,3,2.25,1.75,2.333333333,A,A,A,A,A,YES,NO,NO
278,bulacan,1.75,2,3,2.75,2,2.5,2,3,1.75,1.25,2.2,3,2.75,2.75,2,2,2.25,1.75,1.75,2.5,2,2.25,2.5,1.75,2.25,1.25,2.5,2.25,2.1,2,1.5,1.75,1.75,AA,AA,A,AA,A,YES,NO,YES
279,luisiana,3,3,3,3,3,3,3,3,2.25,2.5,2.88,2,2.25,3,3,2.25,3,2.5,3,3,3,3,3,2.25,2.75,3,3,3,2.9,3,3,2.5,2.833333333,A,A,A,AA,A,YES,NO,NO
280,quezon,3,3,3,3,3,3,3,3,2.25,2.5,2.88,3,3,3,3,3,2.75,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2.25,2.75,A,A,A,A,B,NO,NO,NO
281,patnanungan,3,2.5,2.75,2.5,3,3,1.75,1.75,2.5,2.5,2.53,3,3,3,2.5,2.25,3,2,2.5,3,3,3,3,2,2.5,3,3,2.5,2.75,2.25,3,3,2.75,A,AA,A,A,A,YES,NO,NO
282,lucban,2.25,3,3,3,3,3,3,3,2.5,1.75,2.75,3,2.75,3,2.75,2.5,3,2,3,3,2.75,3,3,2,3,2.5,3,3,2.825,3,2.25,2.25,2.5,A,A,A,AA,A,NO,NO,NO
283,lucban,2.5,2.5,3,2.5,3,3,2.75,3,2.25,1.75,2.63,2.25,2.25,2.75,2.75,2,3,2.25,3,3,3,3,3,2.5,2.75,3,3,3,2.925,3,2.25,2.25,2.5,AA,A,A,A,A,NO,NO,NO
284,tiaong,2.25,2.5,2,2,3,2,1.5,2.25,1.75,1.75,2.1,2.75,2,2,1.75,2.25,1.5,1.5,1.75,2,1.75,2.75,2.25,2.75,2,2,2.5,2,2.175,1.5,1.75,2,1.75,A,AA,A,AA,B,YES,NO,YES
285,lucena,2,2,2,1.75,2.25,3,1.5,2.25,1.5,1.5,1.98,2.75,2.5,2,1.5,1.75,2.5,1.75,1.5,2.75,2,2,1.75,1.5,1.75,2.5,2.25,2.25,2.025,1.5,1.75,1.25,1.5,A,AA,A,AA,A,YES,NO,YES
286,lucban,3,3,3,3,3,3,2.5,3,2.25,1.75,2.75,3,1.75,3,3,1.75,2.75,2,2.25,3,2.75,3,3,2.25,2.5,3,3,2.5,2.725,3,3,2,2.666666667,A,A,A,A,A,YES,NO,NO
287,tayabas,1.75,2.25,2,2.5,2.25,2,2.75,3,1.5,1.5,2.15,2.25,2.5,2.25,2,1.75,2.75,1.75,1.75,2.5,2,2.5,1.5,1.5,2.25,2.5,3,2.75,2.225,3,2.25,1.5,2.25,A,AA,A,A,A,YES,NO,YES
288,lucena,2.5,2.75,2.75,3,3,3,2.75,3,2,1.75,2.65,2.75,3,3,3,2.25,3,2.5,3,3,3,3,3,1.75,2.75,3,3,2.75,2.825,3,3,2.25,2.75,A,AA,A,A,B,YES,NO,YES
289,lucena,3,3,3,3,3,2.5,3,3,2.5,1.75,2.78,3,3,3,3,2.5,3,2.5,2.75,3,3,3,3,2.75,3,2.75,3,3,2.925,2.5,2.75,2.25,2.5,A,A,A,AA,A,NO,NO,NO
290,mulanay,2.25,2.5,2.25,2.5,2.25,2.25,1.75,2.5,1.5,1.25,2.1,2.25,2.25,2.5,1.75,1.75,2.5,1.75,1.75,2.5,2.5,2.75,3,2.5,2.25,2.5,2.5,2,2.425,2.25,2.25,1.75,2.083333333,A,AA,A,AA,C,YES,NO,YES
291,luisiana,2.5,2.25,2.5,2,3,1.25,2,2.75,1.75,1.75,2.18,2.75,2.5,2.25,1.75,2,2,1.75,1.75,2,2.25,2.5,2.25,2.25,2.5,2.25,2.25,2,2.2,1.75,1.25,1.75,1.583333333,A,AA,A,A,A,YES,NO,YES
292,lucena,3,3,3,3,3,2.25,3,3,2,1.5,2.68,3,3,3,3,2.5,2.75,2.25,2.5,3,3,3,1.75,1.75,2.75,2.5,3,3,2.625,3,3,2.25,2.75,A,A,A,A,A,YES,NO,NO
293,sariaya,1.5,1.75,2.25,1.75,2,2.25,2,2.25,1.5,1.5,1.88,1.75,1.75,1.75,1.75,1.75,1.75,1.5,1.5,1.75,1.75,2,2.5,1.5,2.25,3,2.75,1.75,2.075,2,1.75,1.5,1.75,A,AA,AA,AA,A,YES,NO,YES
294,lucena,1.75,1.75,2,1.5,1.5,1.25,1.25,2.5,1.5,1.25,1.63,2.25,2,1.5,1.25,1,1.25,1.5,1,1.75,1.5,2,1.5,1.25,1.75,1.25,2,1.5,1.55,1.25,1,1.25,1.166666667,A,AA,A,A,B,YES,NO,YES
295,mauban,3,3,3,3,3,2.75,3,3,2,1.5,2.73,2.75,3,3,3,2.5,3,2.25,2.5,3,2.75,3,3,2.5,2.75,3,3,3,2.85,3,3,1.75,2.583333333,A,A,A,AA,A,NO,NO,NO
296,tiaong,3,3,3,3,3,3,2.5,3,1.75,1.75,2.7,3,3,2.75,3,2.25,3,2.25,2,3,3,3,2,1.75,2.75,2.75,3,3,2.625,3,2.25,2,2.416666667,A,AA,AA,AA,A,YES,NO,NO
297,calauag,2.25,3,2.5,2.75,3,3,2.75,3,2,1.5,2.58,2.75,2.25,1.75,2.25,1.75,2.25,2,2,2.75,2.5,3,3,2.25,2.5,2.5,3,3,2.65,2.25,2.25,1.5,2,A,AA,A,A,A,YES,NO,YES
298,tiaong,2.75,2.75,2,1.5,1.5,2,2.25,1.75,2,2,2.05,2.25,2,2.5,2,2,2.5,2.25,2.25,2.5,3,3,3,3,3,2.25,3,2.5,2.75,2,2.25,1.75,2,A,A,AA,A,A,YES,NO,NO
299,calauag,2.5,2.25,2.25,2.25,2.75,2.25,2.25,3,1.75,1.5,2.28,2.75,2.75,2.25,2,2,2,2,1.75,2,1.75,2.25,1.5,1.75,2,2.5,2.5,2.25,2.025,2.25,1.5,1.75,1.833333333,AA,AA,A,AA,A,YES,NO,YES
300,lucban,2.75,3,2.5,3,2.25,2,2,2.5,1.5,1.5,2.3,2.5,2.5,2.25,1.75,2.25,2.75,1.75,1.5,2.25,2,2.5,1.5,1.75,2.25,2.75,2.5,2.25,2.125,2.25,2.25,1.5,2,AA,AA,A,A,B,YES,NO,YES
301,lucban,2.25,2,2.25,2.5,3,2,2.5,3,2,1.5,2.3,2.75,2.75,2.25,2.25,2,3,2,2,2.75,2.25,3,2,2.25,2.5,3,3,2,2.475,2.5,2,1.75,2.083333333,A,A,A,A,A,YES,NO,NO
302,sariaya,2.25,2.75,2.25,2.5,2.5,1.5,2,3,1.5,1.25,2.15,2.75,2.5,2.25,2.25,1.5,2,1.75,1.5,2.5,1.5,2,1.5,1.25,2.25,2.75,2.25,2.25,1.975,2,1.5,1.75,1.75,A,AA,A,A,A,YES,NO,YES
303,lucban,2.25,2.5,2.5,2.25,2.5,2.25,2.25,3,1.75,1.5,2.28,2.75,2.75,2,2,2.5,2.5,2,1.75,2.25,1.75,2.75,1.75,1.75,2.25,3,3,2,2.225,2.25,1.75,1.75,1.916666667,A,AA,A,AA,B,YES,NO,YES
304,lucena,2.25,3,2.5,2,3,3,2,3,2.5,1.75,2.5,2.75,3,3,2.25,1.75,2,2,2,2.5,2.5,3,3,2.5,3,2,3,2.75,2.625,2.75,3,2.25,2.666666667,AA,AA,A,AA,B,YES,NO,YES
